givenname,surname,given_first,title,description,industry,tags,cis_white_man,robbins_lecture_yr,note
Harold,Kroto,TRUE,Dr.,"Sir Harold Kroto, born in 1939, was best known for his discovery of the C60 allotrope, a stable structure of 60 carbon atoms. His parents were Jewish refugees from Eastern Europe, though he later renounced his faith and became an atheist and an opponent of religion. He studied chemistry at the University of Sheffield in England, obtaining his PhD in 1964 while also playing on the tennis team. After time spent overseas, Kroto became a Professor of Chemistry at the University of Sussex. At Sussex, Professor Kroto’s research focused on novel carbon compounds with unusual bonding structures. In 1985, Kroto discovered that C60, which he named buckminsterfullerene, could form spontaneously from condensing carbon-containing vapors at certain temperatures and pressures. For this work, Professor Kroto won the 1996 Nobel Prize in Chemistry. In 2004, Kroto moved to the warmer climate of Florida State University, where he continued his research until his retirement. Professor Kroto also actively contributed to science education, giving public lectures, writing opinion pieces, and producing documentaries. He delivered the 46th Robbins Lecture at Pomona College in 2008.",,"robbins, nobel, non_us",TRUE,2008,
Jennifer,Doudna,TRUE,Dr.,"Born in 1964, Jennifer Doudna is most famous for her work on CRISPR and gene editing. Even though she questioned her ability to pursue science, she graduated from Pomona College with a Bachelor’s of Art degree in biochemistry. In 1989, she earned her PhD in biochemistry from Harvard University. Both of Doudna’s parents encouraged her to read and pursue her inspiration. Jennifer Doudna’s work on CRISPR, which enabled researchers to make simpler and more efficient changes to DNA sequences, earned her the Nobel Prize in Chemistry in 2020. She was also named one of the Time top 100 most influential people in 2015 and the runner up for Time Person of the Year in 2016. Jennifer Doudna was the Robbins Lecturer at Pomona College in 2009. ",,"robbins, nobel, gender_minority, pomona_alum",FALSE,2009,
Jean-Marie,Lehn,TRUE,Dr.,"French chemist and Nobel Prize winner Jean-Marie Lehn is a pioneer in the field of supramolecular chemistry, the study of organic compounds that form without the normal binding of shared electrons. His work has enabled researchers to understand the principles of molecular recognition (how specific molecules are able to recognize and react with each other). Lehn was born in 1939 in Rosheim, a small medieval city of Alsace in France. The eldest of four sons, Lehn entered primary school after the end of World War II. Initially intent on studying philosophy as an undergraduate, he became fascinated by the experimental power of organic chemistry. After receiving his Ph.D in 1963, Lehn spent a year in Robert Burns Woodward’s laboratory at Harvard University, where he was involved with the synthesis of Vitamin B12.",,"robbins, nobel, non_us",TRUE,2009,photo saved as jeanmarie_lehn
Peter,Agre,TRUE,Dr.,"A native Minnesotan, Peter Agre studied chemistry at Augsburg College (B.A. 1970) and medicine at Johns Hopkins University (M.D. 1974). He completed his residency at Case Western Reserve University in Cleveland and an oncology fellowship at the University of North Carolina at Chapel Hill. Agre joined the Johns Hopkins School of Medicine faculty in 1984 and rose to the rank of professor of biological chemistry and professor of medicine. In January 2008, Agre became University Professor and director of the Malaria Research Institute at the Bloomberg School of Public Health. In 2003, Agre shared the Nobel Prize in Chemistry for discovering aquaporins, a family of water channel proteins that is found throughout nature and is responsible for numerous physiological processes in humans. Aquaporins are implicated in multiple clinical disorders, including malaria. Agre is a member of the National Academy of Sciences and the Institute of Medicine for which he chaired and serves on the Committee on Human Rights. In 2009, Agre served as president of the American Association for the Advancement of Science.",,"robbins, nobel",TRUE,2010,
J. Andrew,McCammon,TRUE,Dr.,"J. Andrew McCammon is the Joseph E. Mayer Chair Professor of Theoretical Chemistry and Distinguished Professor of Pharmacology at UC San Diego, and is an investigator of the Howard Hughes Medical Institute. He received his B.A. from Pomona College, and his Ph.D. in chemical physics from Harvard University, where he worked with John Deutch (of MIT). In 1976- 78, he developed the computer simulation approach to protein dynamics in Martin Karplus’s lab at Harvard. He joined the University of Houston as assistant professor of chemistry in 1978, and became the M.D. Anderson Chair Professor of Chemistry in 1981. He moved to UCSD in 1995. McCammon has invented theoretical methods for accurately predicting and interpreting molecular recognition, rates of reactions and other properties of chemical systems. These methods play a growing role in the design of new drugs and other materials. Professor McCammon is the author with Stephen Harvey of “Dynamics of Proteins and Nucleic Acids” (Cambridge University Press), and is the author or co-author of more than 650 publications in theoretical chemistry and biochemistry. More than 50 of his former students have tenured or tenure-track  positions at leading universities or research institutes.",,"robbins, pomona_alum",TRUE,2011,
Susan,Solomon,TRUE,Dr.,"Susan Solomon is the Ellen Swallow Richards Professor of Atmospheric Chemistry and Climate Science at the Massachusetts Institute of Technology. Solomon received her Ph.D. in chemistry from the University of California at Berkeley in 1981. She was a scientist at the National Oceanic and Atmospheric Administration in Boulder, Colo., from 1981 to 2011, and has been an adjunct professor at the University of Colorado from 1982 to present. She is best known for her pioneering research explaining why the ozone hole occurs in Antarctica, as well as obtaining some of the first chemical measurements that helped to establish the chlorofluorocarbons as its cause. She was the head project scientist of the National Ozone Expedition at McMurdo Station, Antarctica, in 1986-1987, and Solomon Glacier in Antarctica was subsequently named to recognize her accomplishments. Solomon has an abiding interest in historical meteorological data and is the author of a popular book on Antarctic history, “The Coldest March,” which was selected among the “2001 Books of the Year” by The New York Times, The Economist (U.K.) and the Independent (U.K.).",,"robbins, gender_minority",FALSE,2013,
Robert,Langer,TRUE,Dr.,"Robert S. Langer is the David H. Koch Institute Professor at MIT. (There are 11 Institute Professors at MIT; being an Institute  rofesso is the highest honor that can be awarded to a faculty member.) He has written more than 1,200 articles, and has more than 815 issued and pending patents worldwide. His patents have been licensed or sublicensed to more than 250 pharmaceutical, chemical, biotechnology and medical device companies. Langer is the most cited engineer in history. Professor Langer served as a member of the U.S. Food and Drug Administration’s SCIENCE Board, the FDA’s highest advisory board, from 1995 to 2002 and as its chairman from 1999 to 2002. ",,robbins,TRUE,2014,
Jack,Szostak,TRUE,Dr.,"Jack W. Szostak is an investigator of the Howard Hughes Medical Institute, professor of genetics at Harvard Medical School, professor of chemistry and chemical biology at Harvard University, and the Alex Rich Distinguished Investigator in the Department of Molecular Biology and the Center for Computational and Integrative Biology at Massachusetts General Hospital. His early research was on the genetics and biochemistry of DNA recombination and telomeres. Szostak’s current research interests are in the laboratory synthesis of self-replicating systems, the origin of life and applied evolutionary chemistry. He and his colleagues developed in vitro selection as a tool for the isolation of rare functional RNA, DNA and protein molecules from large pools of random sequences. In 2009, Szostak shared the Nobel Prize in Medicine or Physiology with Elizabeth Blackburn and Carol Greider for their work on telomeres and telomerase.",,"robbins, nobel",TRUE,2015,
W.E.,Moerner,TRUE,Dr.,"W. E. (William Esco) Moerner is the Harry S. Mosher Professor of Chemistry, chair of the Department of Chemistry and professor, by courtesy, of applied physics at Stanford University. He conducts research in physical chemistry and chemical physics of single molecules, single molecule biophysics, super-resolution imaging and tracking in cells, and trapping of single molecules in solution. His interests include methods of precise quantitation of single-molecule properties, strategies for three-dimensional imaging and tracking of single molecules, applications of single-molecule measurements to understand biological processes in cells, and observations of the photodynamics of single photosynthetic proteins and enzymes.",,robbins,TRUE,2016,
JoAnne,Stubbe,TRUE,Dr.,"Born in 1946, JoAnne Stubbe is most known for her work on ribonucleotide reductase. She received her Bachelor’s in chemistry from the University of Pennsylvania and her PhD in organic chemistry from the University of California, Berkeley. Having both of her parents as teachers, she initially wanted to pursue teaching but found herself to be more interested in research once she started working at the Yale University school of medicine. JoAnne Stubbe was able to discover how ribonucleotide reductase repair DNA molecules. She was the first woman to receive tenure in the MIT Chemistry Department. She received the National Medal of Science in 2009. JoAnne Stubbe was the Robbins Lecturer at Pomona College in 2017.",,"robbins, gender_minority",FALSE,2017,
Paul,Reider,TRUE,Dr.,"Paul Reider, born in 1951, is most well-known for his AIDS research and drug development expertise. He received his PhD from the University of Vermont before joining the pharmaceutical company Merck. Reider worked at Merck for 22 years, eventually becoming their Vice President of Process Chemistry. He conducted research on anti-AIDS drugs during the AIDS epidemic, successfully synthesizing Crixivan, a lifesaving antiretroviral for millions of AIDS patients. He later moved to Amgen, becoming their Worldwide Head of Chemistry Research and Discovery. In 2008, he joined Princeton University as a Professor of Chemistry. Outside of research, Professor Reider believes it is critical to make science more approachable to the public. He delivered the 56th Robbins Lecture at Pomona College in 2018.",,robbins,TRUE,2018,
Allison,Campbell,TRUE,Dr.,"Allison Campbell is the associate laboratory director for Earth and Biological Sciences at the Pacific Northwest National Laboratory (PNNL). As director, she sets the vision and strategy for PNNL's research in support of the Department of Energy Office (DOE) of Biological and Environmental Research and the National Institutes of Health.She previously served for more than ten years as the director of the Environmental Molecular Sciences Laboratory at PNNL, where she managed the rapid deployment of more than 30 new instruments funded by $60 million from the American Recovery and Reinvestment Act. She directed development of RadEMSL, a specialized facility designed to accelerate actinide chemistry studies, and oversaw construction of a Quiet Wing that houses a unique suite of high-resolution, advanced microscopes in EMSL/ As a researcher, Campbell is nationally recognized for individual contributions in materials development through her research in biomaterials. She is credited with co-inventing a bio-inspired process to ""grow"" a bioactive calcium phosphate layer, from the molecular level, onto the surfaces of artificial joint implants for hips and knees. The process extends the lives of the implants and makes them less likely to be rejected by the body. Campbell also is recognized for her work in understanding the role of proteins in biomineralization. Campbell was elected the 2017 president of the American Chemical Society, and in 2013, was named a fellow of the American Association for the Advancement of Science.",,"robbins, gender_minority",FALSE,2019,
Geraldine,Richmond,TRUE,Dr.,"Geraldine (Geri) Richmond received her B.S. degree in chemistry from Kansas State University and her Ph.D. in physical chemistry from the University of California, Berkeley. Her first academic appointment was at Bryn Mawr College in 1980. Since 1985 she has been on the faculty at the University of Oregon where she is the Presidential Chair in Science and professor of chemistry. Her research using laser spectroscopy and computational methods focuses on understanding environmentally and technologically important processes that occur at liquid surfaces. Richmond is a member of the U.S. National Academy of Sciences and a fellow of the American Academy of Arts and Sciences.",,"robbins, gender_minority",FALSE,2020,
Melanie,Sanford,TRUE,Dr.,"Melanie S. Sanford is currently the Moses Gomberg Distinguished University Professor of Chemistry and Arthur F. Thurnau Professor of Chemistry at the University of Michigan, Ann Arbor.  She received her B.S. and M.S. degrees at Yale University in 1996, where she carried out undergraduate research in the laboratory of Professor Robert Crabtree.  She pursued graduate studies at the California Institute of Technology working with Professor Robert Grubbs.  Following postdoctoral work at Princeton University with Professor John Groves, she joined the faculty at the University of Michigan in the summer of 2003 as an assistant professor of chemistry.  She was promoted to associate professor in 2007, to full professor in 2010, to Arthur F. Thurnau Professor of Chemistry in 2011, and to Moses Gomberg Collegiate Professor of Chemistry in 2012.  She has won a number of awards, including the ACS Award in Pure Chemistry, the Sackler Prize, the Blavatnik Award, and a MacArthur Foundation Fellowship.  She is a member of the National Academy of Sciences and a Fellow of the ACS.  Research in the Sanford group aims to develop new chemical reactions that enable the production of pharmaceuticals, agrochemicals, and fuels in a more efficient and environmentally friendly manner.  For example, her research focuses on converting simple and readily available starting materials (for example, carbon dioxide, carbon-hydrogen bonds) into much more complex products through the use of transition metal catalysis.",,"robbins, gender_minority",FALSE,2023,
